epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1881.68,0.50713,0.42684,1.01278,0.86194,0.91132,0.92742,0.82187,0.48288,0.68818,1.01772,0.000742625,0.000742625,0.000742625
43,1920.93,0.52506,0.43044,1.02737,0.87258,0.90438,0.92,0.82536,0.47782,0.56441,1.01841,0.00073025,0.00073025,0.00073025
44,1958.88,0.51677,0.42763,1.01611,0.87149,0.9027,0.91848,0.82089,0.48186,0.56962,1.02866,0.000717875,0.000717875,0.000717875
45,1996.37,0.50654,0.42413,1.01617,0.89259,0.87117,0.93195,0.83736,0.48056,0.52636,1.01141,0.0007055,0.0007055,0.0007055
46,2034.68,0.51537,0.42193,1.01988,0.88402,0.874,0.92394,0.82758,0.49709,0.5316,1.03011,0.000693125,0.000693125,0.000693125
47,2074.1,0.50973,0.42033,1.0153,0.90697,0.86511,0.92538,0.82907,0.47843,0.50064,1.02455,0.00068075,0.00068075,0.00068075
48,2113.08,0.50143,0.41405,1.01558,0.88791,0.8831,0.92841,0.83145,0.48606,0.55225,1.01844,0.000668375,0.000668375,0.000668375
49,2151.6,0.50129,0.40687,1.00681,0.88171,0.89277,0.92815,0.83189,0.46414,0.5236,1.01149,0.000656,0.000656,0.000656
50,2189.68,0.49665,0.40285,1.0079,0.89605,0.89008,0.94446,0.84599,0.47877,0.49989,1.0075,0.000643625,0.000643625,0.000643625
51,2229.86,0.49836,0.39985,1.00781,0.90815,0.85358,0.92951,0.83583,0.4629,0.49861,0.99551,0.00063125,0.00063125,0.00063125
52,2267.79,0.49269,0.3952,1.00267,0.86429,0.88978,0.92585,0.83409,0.46954,0.62088,1.01306,0.000618875,0.000618875,0.000618875
53,2306.13,0.49476,0.4014,1.00647,0.88182,0.87911,0.93686,0.84262,0.4775,0.73224,1.00761,0.0006065,0.0006065,0.0006065
54,2345.77,0.48049,0.38608,0.99736,0.8845,0.89512,0.93858,0.84323,0.48835,0.52807,1.01853,0.000594125,0.000594125,0.000594125
55,2386.75,0.48137,0.38675,0.9959,0.85363,0.90124,0.91355,0.81883,0.46629,0.56495,1.00419,0.00058175,0.00058175,0.00058175
56,2425.62,0.47854,0.37658,0.99405,0.85138,0.91673,0.92501,0.82781,0.48433,0.60378,1.0118,0.000569375,0.000569375,0.000569375
57,2464.97,0.47762,0.37837,0.99561,0.88062,0.85853,0.92296,0.82595,0.4676,0.49298,1.00095,0.000557,0.000557,0.000557
58,2505.53,0.4772,0.38451,0.99803,0.87391,0.88003,0.92475,0.82821,0.47438,0.48956,1.01233,0.000544625,0.000544625,0.000544625
59,2546,0.47361,0.37268,0.99553,0.87216,0.89321,0.9311,0.84173,0.46953,0.73548,1.00131,0.00053225,0.00053225,0.00053225
60,2585.11,0.47007,0.38269,0.99723,0.87124,0.91411,0.93701,0.84219,0.46219,0.5552,0.99854,0.000519875,0.000519875,0.000519875
61,2625.2,0.4714,0.37265,0.99314,0.86664,0.89892,0.94354,0.85205,0.46161,0.46394,1.00297,0.0005075,0.0005075,0.0005075
62,2663.21,0.4764,0.37992,0.99622,0.8537,0.91103,0.91847,0.82401,0.47138,0.59656,1.00709,0.000495125,0.000495125,0.000495125
63,2701.12,0.47032,0.36718,0.99205,0.89132,0.9004,0.94253,0.84236,0.4691,0.60944,1.01052,0.00048275,0.00048275,0.00048275
64,2741.48,0.45551,0.35597,0.98771,0.8893,0.90043,0.93715,0.84614,0.45243,0.61154,0.99069,0.000470375,0.000470375,0.000470375
65,2781.09,0.47046,0.36358,0.99229,0.88046,0.91243,0.94292,0.84609,0.46191,0.44874,1.00383,0.000458,0.000458,0.000458
66,2820.59,0.4698,0.36696,0.98993,0.89285,0.88535,0.9258,0.83473,0.47144,0.53205,1.01908,0.000445625,0.000445625,0.000445625
67,2860.07,0.45918,0.35669,0.98492,0.89314,0.91052,0.94827,0.85434,0.4542,0.45756,1.00582,0.00043325,0.00043325,0.00043325
68,2900.12,0.45255,0.34894,0.98447,0.90635,0.90558,0.94132,0.8448,0.45916,0.42576,1.00916,0.000420875,0.000420875,0.000420875
69,2940.63,0.45261,0.3533,0.98579,0.86679,0.93074,0.93148,0.83971,0.45059,0.45787,0.99402,0.0004085,0.0004085,0.0004085
70,2977.82,0.45223,0.34932,0.9806,0.87976,0.90672,0.9459,0.85081,0.46246,0.54687,1.00259,0.000396125,0.000396125,0.000396125
71,3017.15,0.44187,0.34057,0.98051,0.90945,0.89728,0.94583,0.85485,0.44848,0.50748,1.00613,0.00038375,0.00038375,0.00038375
72,3055.05,0.44146,0.34089,0.98012,0.89214,0.90586,0.93926,0.84789,0.45779,0.51434,1.00496,0.000371375,0.000371375,0.000371375
73,3094.79,0.44085,0.33731,0.97829,0.89406,0.90604,0.93935,0.84355,0.45746,0.50388,1.00345,0.000359,0.000359,0.000359
74,3133.89,0.44255,0.33622,0.98106,0.92051,0.89806,0.94755,0.85868,0.45096,0.45682,1.0008,0.000346625,0.000346625,0.000346625
75,3171.88,0.43723,0.33939,0.97602,0.92554,0.89425,0.94048,0.84702,0.4564,0.42604,0.99656,0.00033425,0.00033425,0.00033425
76,3211.19,0.43406,0.3344,0.96899,0.91044,0.90226,0.9435,0.85535,0.45447,0.44907,1.00648,0.000321875,0.000321875,0.000321875
77,3249.82,0.43902,0.33223,0.97527,0.88369,0.91245,0.9419,0.85335,0.45745,0.57796,1.00074,0.0003095,0.0003095,0.0003095
78,3288.75,0.43398,0.32604,0.97665,0.88767,0.90355,0.93419,0.84318,0.4508,0.49448,0.99793,0.000297125,0.000297125,0.000297125
79,3328.49,0.42923,0.32184,0.97306,0.89925,0.89764,0.94734,0.8592,0.438,0.41866,0.98887,0.00028475,0.00028475,0.00028475
80,3367.08,0.43442,0.32228,0.97516,0.90125,0.90525,0.94002,0.84977,0.44628,0.47497,0.99118,0.000272375,0.000272375,0.000272375
81,3404.33,0.42401,0.32248,0.9701,0.90157,0.92599,0.94673,0.86117,0.44533,0.44616,0.9929,0.00026,0.00026,0.00026
82,3443.16,0.42195,0.31643,0.96567,0.89383,0.91931,0.94308,0.85494,0.44613,0.47597,0.99386,0.000247625,0.000247625,0.000247625
83,3480.91,0.42567,0.3135,0.97002,0.87949,0.92137,0.94089,0.85202,0.44434,0.4937,0.99478,0.00023525,0.00023525,0.00023525
84,3518.96,0.4256,0.32076,0.97268,0.89702,0.92117,0.95161,0.86211,0.44317,0.41331,0.9947,0.000222875,0.000222875,0.000222875
85,3557.91,0.42444,0.32031,0.97095,0.91615,0.9227,0.95377,0.8632,0.43952,0.41148,0.98892,0.0002105,0.0002105,0.0002105
86,3596.72,0.41487,0.30543,0.96196,0.89329,0.91841,0.94391,0.85462,0.44383,0.52364,1.00226,0.000198125,0.000198125,0.000198125
87,3636.79,0.41327,0.30872,0.9654,0.90058,0.92416,0.945,0.85939,0.4428,0.47289,0.99605,0.00018575,0.00018575,0.00018575
88,3679.38,0.41735,0.30784,0.96893,0.91513,0.90592,0.9492,0.86437,0.44323,0.42126,0.99702,0.000173375,0.000173375,0.000173375
89,3716.6,0.40585,0.30211,0.96055,0.90746,0.91187,0.94393,0.85854,0.43681,0.45099,0.99034,0.000161,0.000161,0.000161
90,3753.57,0.41423,0.30298,0.96406,0.91735,0.90454,0.95135,0.86321,0.45002,0.49772,0.99855,0.000148625,0.000148625,0.000148625
91,3790.88,0.34136,0.2402,0.90558,0.90414,0.90535,0.94102,0.85328,0.45584,0.5007,1.00878,0.00013625,0.00013625,0.00013625
92,3828.04,0.33898,0.228,0.90066,0.89914,0.90921,0.94152,0.85446,0.44732,0.46073,1.00238,0.000123875,0.000123875,0.000123875
93,3865.34,0.33586,0.22534,0.89323,0.90228,0.9077,0.93898,0.85037,0.44466,0.50934,0.99717,0.0001115,0.0001115,0.0001115
94,3902.06,0.32927,0.2203,0.90195,0.91648,0.91093,0.94063,0.8525,0.44156,0.4461,0.99216,9.9125e-05,9.9125e-05,9.9125e-05
95,3939.03,0.32492,0.21598,0.89371,0.91669,0.90406,0.94448,0.85893,0.44073,0.4683,0.99601,8.675e-05,8.675e-05,8.675e-05
96,3976.03,0.32756,0.2168,0.89599,0.92038,0.89816,0.9455,0.85977,0.43584,0.46978,0.99043,7.4375e-05,7.4375e-05,7.4375e-05
97,4014.09,0.32445,0.2162,0.8942,0.92169,0.90023,0.94444,0.86214,0.43451,0.44394,0.98811,6.2e-05,6.2e-05,6.2e-05
98,4052.24,0.32173,0.21629,0.89417,0.91356,0.90701,0.94719,0.86382,0.43473,0.43517,0.98824,4.9625e-05,4.9625e-05,4.9625e-05
99,4090.12,0.31889,0.21203,0.8891,0.92695,0.90993,0.95127,0.86564,0.43225,0.40638,0.98886,3.725e-05,3.725e-05,3.725e-05
100,4127.62,0.31474,0.20963,0.88717,0.92447,0.91199,0.95021,0.86459,0.4332,0.42179,0.99023,2.4875e-05,2.4875e-05,2.4875e-05
