epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2755.92,0.77971,0.60985,1.15342,0.95922,0.94475,0.97757,0.84036,0.62626,0.36254,1.08133,0.007921,0.007921,0.007921
44,2821.71,0.77426,0.59953,1.1517,0.94952,0.95943,0.97512,0.83941,0.62218,0.36378,1.07555,0.0078715,0.0078715,0.0078715
45,2886.52,0.76899,0.59372,1.15072,0.94701,0.95829,0.97164,0.83198,0.6173,0.3626,1.07749,0.007822,0.007822,0.007822
46,2951.28,0.75791,0.58194,1.14438,0.93896,0.96329,0.97932,0.83941,0.60975,0.3545,1.07738,0.0077725,0.0077725,0.0077725
47,3016.14,0.7731,0.59485,1.15253,0.94123,0.96044,0.97669,0.83747,0.61313,0.35444,1.06943,0.007723,0.007723,0.007723
48,3080.35,0.76567,0.57756,1.14846,0.95068,0.95584,0.97632,0.83608,0.61372,0.34536,1.07194,0.0076735,0.0076735,0.0076735
49,3145.31,0.7633,0.58532,1.14691,0.95287,0.95863,0.97528,0.83796,0.61226,0.34753,1.07534,0.007624,0.007624,0.007624
50,3210.1,0.75605,0.57924,1.1417,0.94523,0.95068,0.97436,0.83927,0.6108,0.3617,1.07157,0.0075745,0.0075745,0.0075745
51,3274.62,0.7496,0.5707,1.13593,0.94873,0.95595,0.97753,0.84278,0.60783,0.34978,1.06549,0.007525,0.007525,0.007525
52,3339.29,0.7468,0.57052,1.13476,0.95204,0.9513,0.97773,0.84811,0.59611,0.34888,1.05864,0.0074755,0.0074755,0.0074755
53,3403.86,0.74031,0.5502,1.12939,0.94639,0.96335,0.97703,0.84319,0.59851,0.34272,1.0606,0.007426,0.007426,0.007426
54,3469.79,0.74098,0.56202,1.13348,0.95455,0.96322,0.97864,0.84734,0.59436,0.33296,1.06047,0.0073765,0.0073765,0.0073765
55,3534.6,0.7419,0.55873,1.1351,0.95512,0.96109,0.97632,0.8464,0.59916,0.34267,1.05911,0.007327,0.007327,0.007327
56,3599.56,0.74383,0.55963,1.12932,0.95527,0.96228,0.97821,0.8501,0.59167,0.34635,1.05458,0.0072775,0.0072775,0.0072775
57,3664.48,0.73521,0.54961,1.12794,0.95676,0.95851,0.97983,0.84688,0.58789,0.33378,1.05533,0.007228,0.007228,0.007228
58,3729.59,0.73531,0.55603,1.12511,0.95546,0.96978,0.97903,0.84805,0.58905,0.31818,1.05653,0.0071785,0.0071785,0.0071785
59,3794.62,0.74044,0.56075,1.12986,0.9509,0.96734,0.97951,0.85032,0.57859,0.32016,1.05264,0.007129,0.007129,0.007129
60,3858.13,0.73376,0.5475,1.12589,0.94629,0.96818,0.97829,0.84618,0.5854,0.33177,1.05782,0.0070795,0.0070795,0.0070795
61,3921.78,0.72988,0.55324,1.12715,0.95604,0.96908,0.9797,0.85164,0.58034,0.34285,1.04586,0.00703,0.00703,0.00703
62,3985.35,0.72702,0.54103,1.12247,0.95465,0.96381,0.9793,0.85122,0.5742,0.32217,1.03873,0.0069805,0.0069805,0.0069805
63,4049.48,0.72614,0.54973,1.12616,0.95724,0.96666,0.97902,0.8527,0.57746,0.32166,1.04275,0.006931,0.006931,0.006931
64,4112.59,0.72158,0.5322,1.12155,0.96001,0.95848,0.98072,0.85222,0.57897,0.32241,1.04248,0.0068815,0.0068815,0.0068815
65,4176.45,0.73223,0.54543,1.12478,0.95523,0.96519,0.98119,0.85077,0.57796,0.32355,1.04119,0.006832,0.006832,0.006832
66,4240.58,0.71958,0.52946,1.11433,0.96287,0.96729,0.98322,0.85461,0.56875,0.31817,1.03957,0.0067825,0.0067825,0.0067825
67,4304.96,0.71289,0.52925,1.11963,0.95135,0.97203,0.9815,0.85463,0.57355,0.31557,1.04254,0.006733,0.006733,0.006733
68,4368.43,0.71323,0.52936,1.11353,0.95463,0.96275,0.98055,0.85513,0.56726,0.31739,1.03572,0.0066835,0.0066835,0.0066835
69,4431.87,0.72163,0.52777,1.11591,0.96199,0.96571,0.9815,0.85528,0.56584,0.3124,1.03621,0.006634,0.006634,0.006634
70,4495.8,0.71113,0.5179,1.11457,0.95933,0.97396,0.98179,0.85535,0.5674,0.31078,1.03214,0.0065845,0.0065845,0.0065845
71,4559.19,0.71663,0.5239,1.11587,0.96014,0.96408,0.98067,0.85259,0.56258,0.31338,1.0307,0.006535,0.006535,0.006535
72,4622.69,0.70798,0.51272,1.11302,0.9691,0.96793,0.98207,0.85725,0.55052,0.30285,1.02353,0.0064855,0.0064855,0.0064855
73,4686.45,0.70797,0.5171,1.11477,0.95997,0.9789,0.97924,0.85642,0.55997,0.30416,1.03103,0.006436,0.006436,0.006436
74,4750.31,0.69916,0.50873,1.10264,0.96111,0.96984,0.98012,0.85722,0.55232,0.30581,1.02546,0.0063865,0.0063865,0.0063865
75,4813.89,0.70959,0.52539,1.11549,0.95702,0.97619,0.98248,0.86261,0.54541,0.29891,1.01914,0.006337,0.006337,0.006337
76,4878.34,0.70324,0.51348,1.10675,0.95427,0.97371,0.98139,0.85563,0.54923,0.29996,1.0217,0.0062875,0.0062875,0.0062875
77,4942.22,0.70097,0.51246,1.1055,0.96585,0.96023,0.98077,0.8586,0.55133,0.30197,1.02175,0.006238,0.006238,0.006238
78,5005.37,0.69736,0.50232,1.10324,0.95877,0.95826,0.98092,0.86209,0.55155,0.30177,1.02443,0.0061885,0.0061885,0.0061885
79,5068.73,0.70034,0.50292,1.1083,0.95655,0.97697,0.98212,0.86681,0.54505,0.29195,1.02315,0.006139,0.006139,0.006139
80,5132.39,0.70046,0.50059,1.10744,0.96365,0.97095,0.98177,0.8646,0.54935,0.29224,1.02377,0.0060895,0.0060895,0.0060895
81,5196.9,0.69219,0.50627,1.10382,0.96666,0.96858,0.98108,0.86491,0.54279,0.29334,1.02085,0.00604,0.00604,0.00604
82,5261.66,0.69418,0.50643,1.10064,0.96395,0.97328,0.98278,0.86613,0.54294,0.28839,1.01953,0.0059905,0.0059905,0.0059905
83,5326.54,0.69397,0.49293,1.10142,0.97116,0.96794,0.98153,0.86581,0.54029,0.29077,1.0202,0.005941,0.005941,0.005941
84,5391.16,0.68548,0.49354,1.09422,0.96827,0.9662,0.97984,0.86507,0.54239,0.29492,1.01918,0.0058915,0.0058915,0.0058915
85,5456.33,0.69187,0.49452,1.09904,0.96382,0.97343,0.97993,0.86585,0.54,0.28924,1.01411,0.005842,0.005842,0.005842
86,5520.57,0.69397,0.49357,1.1031,0.96144,0.97284,0.98006,0.86689,0.53625,0.2899,1.00944,0.0057925,0.0057925,0.0057925
87,5585.41,0.67692,0.48539,1.08965,0.95023,0.9731,0.98005,0.86727,0.53404,0.28663,1.00913,0.005743,0.005743,0.005743
88,5650.44,0.67535,0.48453,1.0909,0.96149,0.96768,0.97983,0.86564,0.53718,0.28867,1.00901,0.0056935,0.0056935,0.0056935
89,5715.39,0.6758,0.48442,1.09277,0.96589,0.96973,0.98145,0.86773,0.5371,0.28789,1.00969,0.005644,0.005644,0.005644
90,5780.14,0.68001,0.48219,1.09211,0.9664,0.97371,0.98071,0.86702,0.53289,0.28724,1.00591,0.0055945,0.0055945,0.0055945
91,5844.95,0.67853,0.48272,1.09415,0.96874,0.97031,0.98205,0.86915,0.5337,0.28313,1.00719,0.005545,0.005545,0.005545
92,5908.72,0.67752,0.48563,1.09613,0.96343,0.97988,0.98102,0.86744,0.53244,0.28445,1.00404,0.0054955,0.0054955,0.0054955
93,5974.92,0.67803,0.47848,1.09163,0.96408,0.97859,0.98288,0.87086,0.52426,0.28067,0.9983,0.005446,0.005446,0.005446
94,6042.37,0.67361,0.47727,1.09039,0.96172,0.97693,0.98393,0.87246,0.52249,0.27893,0.99898,0.0053965,0.0053965,0.0053965
95,6109.16,0.67235,0.47998,1.08722,0.96573,0.97256,0.98245,0.87038,0.5258,0.27767,1.00216,0.005347,0.005347,0.005347
96,6175.57,0.67255,0.47605,1.08914,0.961,0.9777,0.98298,0.86983,0.52295,0.27389,1.00126,0.0052975,0.0052975,0.0052975
97,6240.5,0.66958,0.47368,1.08599,0.9642,0.96985,0.98176,0.87048,0.52089,0.27594,0.99926,0.005248,0.005248,0.005248
98,6305.56,0.67409,0.47601,1.09101,0.96054,0.97215,0.98129,0.87066,0.52324,0.2781,1.0002,0.0051985,0.0051985,0.0051985
99,6370.21,0.66132,0.46103,1.08228,0.96091,0.97372,0.98132,0.87099,0.52692,0.27724,1.00161,0.005149,0.005149,0.005149
100,6435.11,0.66456,0.46761,1.08565,0.95282,0.98211,0.98255,0.87256,0.52188,0.27546,0.99866,0.0050995,0.0050995,0.0050995
101,6499.47,0.66065,0.46288,1.07729,0.96194,0.9738,0.98193,0.87296,0.52078,0.2774,0.99717,0.00505,0.00505,0.00505
102,6562.92,0.66105,0.46482,1.08011,0.96322,0.96886,0.98131,0.87403,0.52145,0.27829,0.99779,0.0050005,0.0050005,0.0050005
103,6627.01,0.65523,0.45126,1.07654,0.96465,0.96753,0.98113,0.87345,0.51721,0.27626,0.99568,0.004951,0.004951,0.004951
104,6691.27,0.65768,0.46066,1.08123,0.9659,0.97345,0.98295,0.87529,0.51433,0.27376,0.99426,0.0049015,0.0049015,0.0049015
105,6754.83,0.65835,0.46625,1.08003,0.9628,0.97728,0.98036,0.87144,0.51518,0.27634,0.99559,0.004852,0.004852,0.004852
106,6817.92,0.65579,0.45764,1.07652,0.96338,0.97796,0.98052,0.87366,0.51436,0.27714,0.99611,0.0048025,0.0048025,0.0048025
107,6881.92,0.65578,0.45704,1.07995,0.96227,0.98041,0.98224,0.87376,0.51592,0.27548,0.99612,0.004753,0.004753,0.004753
108,6945.96,0.64553,0.44786,1.07943,0.96262,0.97984,0.98214,0.87355,0.51631,0.2732,0.99618,0.0047035,0.0047035,0.0047035
109,7011.03,0.65772,0.4597,1.08191,0.96198,0.97731,0.98272,0.87435,0.51492,0.27211,0.99398,0.004654,0.004654,0.004654
110,7075.98,0.6516,0.44986,1.07623,0.96028,0.97747,0.98174,0.8719,0.51555,0.27114,0.99573,0.0046045,0.0046045,0.0046045
111,7140.97,0.64533,0.45337,1.07543,0.9626,0.98261,0.98219,0.87378,0.51269,0.26926,0.99135,0.004555,0.004555,0.004555
112,7205.8,0.64525,0.44956,1.07216,0.96192,0.98167,0.98297,0.87399,0.5109,0.26531,0.98952,0.0045055,0.0045055,0.0045055
113,7269.65,0.65002,0.45157,1.07721,0.96235,0.97921,0.98206,0.87533,0.50957,0.26503,0.98986,0.004456,0.004456,0.004456
114,7333.28,0.64241,0.44565,1.06865,0.96543,0.97704,0.98269,0.87363,0.51026,0.26449,0.98972,0.0044065,0.0044065,0.0044065
115,7398.28,0.63962,0.44931,1.07139,0.9658,0.97782,0.98321,0.87467,0.50782,0.26201,0.98773,0.004357,0.004357,0.004357
116,7463.39,0.63365,0.43964,1.06925,0.96466,0.97866,0.98321,0.87361,0.50819,0.26257,0.98702,0.0043075,0.0043075,0.0043075
117,7528.3,0.63835,0.44022,1.06906,0.96698,0.9796,0.98346,0.87435,0.50875,0.26274,0.98747,0.004258,0.004258,0.004258
118,7594.54,0.64011,0.43999,1.0724,0.96819,0.97892,0.98255,0.87394,0.50945,0.26168,0.98758,0.0042085,0.0042085,0.0042085
119,7659.18,0.63224,0.43495,1.06829,0.96906,0.97385,0.9833,0.87588,0.50912,0.26279,0.98672,0.004159,0.004159,0.004159
120,7723.96,0.63584,0.4305,1.06654,0.97225,0.97477,0.98442,0.87666,0.50803,0.26311,0.98565,0.0041095,0.0041095,0.0041095
121,7789.13,0.63151,0.43252,1.06503,0.97144,0.97504,0.98408,0.87572,0.50702,0.2628,0.98477,0.00406,0.00406,0.00406
122,7854.16,0.62818,0.43489,1.06784,0.97232,0.97329,0.98416,0.87498,0.50612,0.26208,0.98376,0.0040105,0.0040105,0.0040105
123,7918.84,0.62891,0.42776,1.06238,0.96875,0.97358,0.98397,0.8751,0.50427,0.25991,0.98255,0.003961,0.003961,0.003961
124,7982.58,0.62263,0.42954,1.06202,0.97062,0.9728,0.98435,0.87679,0.50276,0.25946,0.98174,0.0039115,0.0039115,0.0039115
125,8046.44,0.62749,0.43135,1.06465,0.9679,0.97505,0.98458,0.87723,0.50088,0.25847,0.98072,0.003862,0.003862,0.003862
126,8109.57,0.6233,0.42563,1.06038,0.96622,0.97678,0.98431,0.87725,0.50157,0.26086,0.98111,0.0038125,0.0038125,0.0038125
127,8173.13,0.6206,0.4256,1.05969,0.9682,0.97698,0.98407,0.8771,0.50111,0.25967,0.98135,0.003763,0.003763,0.003763
128,8237.75,0.61292,0.42606,1.05637,0.96676,0.97898,0.98373,0.87832,0.50065,0.2588,0.98123,0.0037135,0.0037135,0.0037135
129,8301.11,0.61998,0.4227,1.06,0.96679,0.97888,0.98291,0.879,0.49969,0.25932,0.98122,0.003664,0.003664,0.003664
130,8364.79,0.62064,0.41969,1.05763,0.96716,0.97798,0.98322,0.87945,0.49853,0.25919,0.98044,0.0036145,0.0036145,0.0036145
131,8428.3,0.61315,0.41556,1.05451,0.96823,0.97799,0.98376,0.87954,0.49762,0.25817,0.97996,0.003565,0.003565,0.003565
132,8492.23,0.62546,0.42362,1.0613,0.96818,0.97781,0.98361,0.87934,0.49692,0.25741,0.9798,0.0035155,0.0035155,0.0035155
133,8556.07,0.60835,0.41301,1.05213,0.96951,0.97711,0.98346,0.88034,0.49596,0.25652,0.97908,0.003466,0.003466,0.003466
134,8619.9,0.61896,0.42118,1.06144,0.96923,0.97718,0.98379,0.88021,0.49563,0.25635,0.979,0.0034165,0.0034165,0.0034165
135,8683.96,0.61063,0.41643,1.0551,0.96789,0.97787,0.98388,0.87996,0.49513,0.25522,0.97872,0.003367,0.003367,0.003367
136,8747.87,0.61665,0.41547,1.05783,0.96992,0.97614,0.98374,0.88042,0.49421,0.25412,0.97764,0.0033175,0.0033175,0.0033175
137,8811.58,0.60547,0.41068,1.05361,0.96857,0.97768,0.98428,0.88033,0.49369,0.25383,0.9779,0.003268,0.003268,0.003268
138,8875.19,0.61383,0.41835,1.05927,0.97006,0.98014,0.98436,0.88057,0.49274,0.25277,0.97703,0.0032185,0.0032185,0.0032185
139,8939.16,0.60571,0.41352,1.05248,0.96992,0.97974,0.98411,0.88089,0.49241,0.2529,0.97708,0.003169,0.003169,0.003169
140,9002.8,0.60512,0.40928,1.05075,0.97042,0.97974,0.98384,0.88049,0.49258,0.25259,0.97713,0.0031195,0.0031195,0.0031195
141,9066.3,0.60714,0.40977,1.05313,0.97117,0.98158,0.98347,0.87987,0.49181,0.2529,0.97687,0.00307,0.00307,0.00307
142,9130.08,0.60303,0.41021,1.05327,0.97052,0.98227,0.98333,0.8798,0.49093,0.25292,0.97625,0.0030205,0.0030205,0.0030205
143,9194.44,0.60323,0.4062,1.05,0.96989,0.98243,0.98324,0.8805,0.49029,0.25272,0.97567,0.002971,0.002971,0.002971
144,9259.19,0.59961,0.40591,1.04776,0.96945,0.98222,0.98344,0.88018,0.48993,0.25245,0.97529,0.0029215,0.0029215,0.0029215
145,9324.16,0.59872,0.40557,1.04568,0.97102,0.98183,0.98292,0.88016,0.48962,0.25144,0.97516,0.002872,0.002872,0.002872
146,9388.78,0.59756,0.40491,1.04529,0.97011,0.98176,0.98264,0.87997,0.4895,0.25066,0.97479,0.0028225,0.0028225,0.0028225
147,9453.47,0.59021,0.39619,1.04386,0.97105,0.98122,0.98255,0.87894,0.48919,0.2498,0.9745,0.002773,0.002773,0.002773
148,9517.42,0.58871,0.39496,1.04441,0.97205,0.97932,0.98229,0.87877,0.48854,0.24882,0.97397,0.0027235,0.0027235,0.0027235
149,9580.84,0.59002,0.39741,1.0479,0.97234,0.9794,0.98244,0.87816,0.48817,0.24888,0.97345,0.002674,0.002674,0.002674
150,9644.07,0.59097,0.39517,1.04567,0.97261,0.98115,0.98246,0.8786,0.48804,0.24934,0.97321,0.0026245,0.0026245,0.0026245
151,9707.61,0.58931,0.39324,1.03819,0.97073,0.98161,0.98251,0.87853,0.48753,0.25002,0.97283,0.002575,0.002575,0.002575
152,9771.57,0.58644,0.39285,1.04681,0.97308,0.97905,0.98234,0.8783,0.48677,0.24978,0.97247,0.0025255,0.0025255,0.0025255
153,9835.04,0.58616,0.39398,1.04084,0.9723,0.97957,0.98268,0.87976,0.48611,0.24927,0.9719,0.002476,0.002476,0.002476
154,9898.87,0.58556,0.38993,1.04412,0.97224,0.97944,0.98258,0.87947,0.48564,0.24971,0.97141,0.0024265,0.0024265,0.0024265
155,9962.86,0.58396,0.39203,1.04285,0.97211,0.97938,0.9823,0.87954,0.48511,0.24986,0.97125,0.002377,0.002377,0.002377
156,10026.4,0.58183,0.38678,1.0409,0.9725,0.97958,0.98182,0.87876,0.48476,0.24929,0.971,0.0023275,0.0023275,0.0023275
157,10090.3,0.58032,0.38639,1.03989,0.97248,0.97968,0.98179,0.87921,0.48441,0.24898,0.97089,0.002278,0.002278,0.002278
158,10154.1,0.57837,0.38728,1.03878,0.97219,0.97975,0.98197,0.87945,0.48417,0.24917,0.97066,0.0022285,0.0022285,0.0022285
159,10218.2,0.57342,0.38033,1.03578,0.9728,0.9799,0.98207,0.87958,0.48391,0.24914,0.97048,0.002179,0.002179,0.002179
160,10281.9,0.57235,0.38095,1.0337,0.97258,0.98004,0.98219,0.87931,0.4839,0.24906,0.97047,0.0021295,0.0021295,0.0021295
161,10345.4,0.5735,0.38369,1.03662,0.97284,0.97979,0.98232,0.87962,0.4833,0.24918,0.97015,0.00208,0.00208,0.00208
162,10409.1,0.57504,0.39186,1.03752,0.97339,0.97972,0.98226,0.87943,0.48318,0.24895,0.96993,0.0020305,0.0020305,0.0020305
163,10472.6,0.57183,0.38264,1.03556,0.97356,0.97972,0.98247,0.87985,0.48284,0.2486,0.96956,0.001981,0.001981,0.001981
164,10536.9,0.5725,0.385,1.03372,0.97359,0.98002,0.98228,0.87933,0.48266,0.24813,0.96935,0.0019315,0.0019315,0.0019315
165,10600.4,0.57226,0.37392,1.03531,0.97351,0.97996,0.98199,0.8797,0.4826,0.24865,0.96917,0.001882,0.001882,0.001882
166,10664.2,0.56478,0.3794,1.03171,0.97382,0.97992,0.98205,0.87969,0.48239,0.24902,0.969,0.0018325,0.0018325,0.0018325
167,10727.6,0.56613,0.37215,1.03025,0.97413,0.97962,0.9823,0.88039,0.48197,0.24908,0.9688,0.001783,0.001783,0.001783
168,10791.1,0.57397,0.37746,1.0376,0.97416,0.97951,0.98219,0.87997,0.48185,0.24917,0.96874,0.0017335,0.0017335,0.0017335
169,10854.8,0.56794,0.37543,1.0319,0.97407,0.97944,0.98244,0.88044,0.48169,0.24887,0.96851,0.001684,0.001684,0.001684
170,10918.7,0.55708,0.36774,1.02872,0.97396,0.97948,0.98219,0.88048,0.48139,0.24844,0.96846,0.0016345,0.0016345,0.0016345
171,10982.7,0.56321,0.37113,1.03052,0.97398,0.97957,0.98214,0.88101,0.48116,0.24835,0.96828,0.001585,0.001585,0.001585
172,11047.4,0.55043,0.36275,1.02438,0.9744,0.97952,0.98219,0.88082,0.48104,0.24825,0.96817,0.0015355,0.0015355,0.0015355
173,11112.3,0.55676,0.36949,1.03173,0.97438,0.97952,0.98222,0.88081,0.48071,0.24798,0.96799,0.001486,0.001486,0.001486
174,11177.5,0.55298,0.36358,1.0262,0.97448,0.97943,0.98227,0.8814,0.48054,0.24772,0.96791,0.0014365,0.0014365,0.0014365
175,11242.4,0.55487,0.36331,1.02638,0.97482,0.97943,0.98224,0.88166,0.48038,0.24764,0.96795,0.001387,0.001387,0.001387
176,11306.9,0.54436,0.35847,1.0214,0.97523,0.97943,0.98228,0.88221,0.48025,0.2474,0.96787,0.0013375,0.0013375,0.0013375
177,11371,0.54985,0.36367,1.02162,0.97464,0.97943,0.98213,0.88158,0.48024,0.24732,0.96784,0.001288,0.001288,0.001288
178,11434.3,0.55303,0.36537,1.02814,0.9748,0.97946,0.98219,0.88134,0.48002,0.24713,0.96778,0.0012385,0.0012385,0.0012385
179,11498.1,0.54759,0.36245,1.02645,0.97472,0.97946,0.98198,0.88141,0.47977,0.24677,0.96773,0.001189,0.001189,0.001189
180,11561.4,0.54715,0.35953,1.02229,0.97499,0.97948,0.98203,0.88173,0.47944,0.24679,0.96779,0.0011395,0.0011395,0.0011395
181,11625.8,0.54447,0.35586,1.02135,0.97504,0.97949,0.98213,0.88199,0.47929,0.24678,0.96779,0.00109,0.00109,0.00109
182,11689.3,0.54439,0.3591,1.02201,0.97485,0.97951,0.98209,0.8818,0.47917,0.24644,0.9678,0.0010405,0.0010405,0.0010405
183,11752.7,0.54406,0.35789,1.02075,0.97495,0.97951,0.98235,0.88224,0.47898,0.24663,0.96778,0.000991,0.000991,0.000991
